id,productName,productDescription,bestRecipes,productCategory,fatRatioComments,isStandardPackage,packagingType,weightGrams,basePrice,offerPrice,hasDailyPriceChange,isByReservation,productCondition,isActive,isTargeted,pricingMode,stockStatus,stockQuantity,onlineEnabled
prod_1785595190739_ig001,كباب حلة احمر دسم وسط,,,غير محدد,,FALSE,طبق أسود بلاستيك,0.500,288.00,286,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190740_ig002,عرق فلتو-I,"عرق الفلتو أفضل حاجة للشوى بيطلع على  بعضه وزنه (يتراوح بين٣ك ل٤ك )\التوضيب بيكون 40:50 % من الوزن لو العميل مستكتر النسبة نرشحله فلتو صولو 
بيطلع العرق + مفروم  (يمكن تتبيله حسب طلب العميل و المفروم بيتعمل كفتة أو برجر)  /  تنضيف الفلتو لو العميل طالبه كفتة او برجر ناكد عليه انه هيتبعت من مصنعاتنا نفس الوزن وبتكون مجمدة ...رفض يبقي ياخده مفروم","الوصفة:
- نحط السمنة تسخن على النار ننزل بالعرق عليها لازم وهى سخنة جدا لغاية تتحمر من كل اتجاه
- نحطها في صينية فى ورق فويل ونلفها ونحط في الصينية ماء وكل ما تنشف نزود
- نسيبها تستوى ساعة او اكتر على حسب حجمها",غير محدد,,FALSE,طبق أسود بلاستيك كبير + غطاء,0.950,822.00,806,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190741_ig003,عرق رستو-I,"العرق بيطلع علي بعضه (وزن 2 إلى 3 ك)بيطلع متربط و متنظف 
ممكن يتم حشوه بالخضار و الشيدر و التركى بيتبل وبيتلف 
نسأل العميل
متربط ولا لأ؟","الوصفة:
- نسخن الزيت ونحط اللحم بكامله عشان ياخد صدمة من كل الجوانب ويتغير لون العرق
- نغلي المرق ونحط عرق اللحم داخل المرق وهو سخن ويتغطى حتى تمام النضج
- يتصفى من المرق ويتحط في الثلاجة
- وقت التقديم يطلع من الثلاجة ويتقطع شرائح للتقديم",غير محدد,,FALSE,طبق أسود بلاستيك كبير + غطاء,1.900,1376.00,1362,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190742_ig004,عكاوى-I,"هو الذيل - يباع بالواحدة علي حسب وزنها  1:1.5ك تقريبا
يرسل  متنظف جيدا/بتخرج مجمدة للحفاظ ع خصائصها","-  طاجن بالبصل أو طاجن بالبطاطس
 - شوربة لأن دسمها عالي",غير محدد,"وزن العبوة: ""by piece
1.100:1.400 KG""",FALSE,طبق بلاستيك أبيض,,705.00,691,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190743_ig005,رقبة ضانى-I,,"خطوات عمل رقبة محشية:
1. تتبل رقبة الخروف بالملح والفلفل  
2. يسوي الأرز المصري ويضاف عليه فلفل الأسمر  
3. يتم وضع الأرز المصري المستوي داخل الرقبه وتلف رول وتغلف بالمنيوم فويل                                                                                                        4. تغلق جيداً بالالومنيوم وتوضع في ماء وتسوي 
5. يتم تسوية أرز الزعفران بالطريقه المعروفه
6. بعد تسويه الرقبه تقطع سلايز",غير محدد,,FALSE,غير محدد,0.950,580.00,,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190744_ig006,كبدة ضانى-I,"الكبدة الضاني بتطلع على بعضها يا فندم وبتكون مشكل (يعني مع القلب والكلاوي)
وزنها من كيلو ونصف إلى 2كيلو 
نسأل العميل: إذا كان يريده كامل أو مقطع مكعبات أو مقطع شرائح عريضة أو كل شريحة على نصفين","- كبدة اسكندراني
 تستوي في عرقها مع بصل وثوم على النار
- كبدة بانيه
نقلي الكبدة ونقدمها ارز بالشعيرية و خضار سوتيه",غير محدد,,FALSE,طبق أسود بلاستيك,1.200,750.00,,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190745_ig007,دجاج ابيض-I,"نسأل العميل: في وزن معين مفضل عند حضرتك للفراخ؟
ويتم مراجعة الستور لمعرفة إذا كان الوزن المحدد متاح",تتسلق وتتحمر,غير محدد,,FALSE,طبق بلاستيك أبيض,1.200,192.00,189,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
prod_1785595190746_ig008,شيش طاووق أوراك فريش-I,"بيتعمل من الدجاج الأبيض مش البلدي
مكعبات وسط كبير صغير ؟/لو عميل محتاج اوراك مخلية عضم وجلد يبقي نوضح بدون تقطيع  /بدون خضار  بدون اسياخ","- شواء
- على البوتجاز ياخد الصدمة في جميع الجوانب وبعدين نحطه في الفرن - ولو عايزة طعم المشوي ممكن  تحطي فحمة علي حتة فويل وسط الصينية
 مع خضروات وتستوى على النار",غير محدد,,FALSE,علبة بلاستيك + غطاء,0.950,209.00,199,FALSE,FALSE,فريش,TRUE,FALSE,unit,available,,FALSE
