id,productName,productCategory,packagingType,weightGrams,pricingMode,productCondition,fatRatioComments,onlineEnabled,isActive
prod_1785656884530_b2b052,كبيبة-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b053,بانيه فريش وزن الصدر 250جم,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b054,كبد دجاج صافى-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b055,شاورما فراخ متبلة-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b056,كوردن بلو -B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b057,كفتة فراخ-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b058,برجر فراخ-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b059,سجق دجاج-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b060,محشي كرنب-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b061,محشي ورق عنب-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b062,محشى ورق عنب بالمفروم -B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b063,ممبار كندوز محشى-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b064,ممبار كندوز بوبس-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b065,سمبوسة لحم -B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b066,سمبوسة جبنة-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b067,سمبوسة فراخ-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b068,سبرنج رول لحم-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b069,سبرنج رول جبنة-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b070,سبرنج رول فراخ-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b071,بطاطس كروكيت لحم-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b072,بطاطس كروكيت جبنة-B,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b073,رقبة جملي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b074,كتف جنوب أفريقي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b075,موزة ضاني أسترالي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b076,رقبة هندي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b077,فلتو هندي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b078,روستو هندي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b079,رقبه برازيلى,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b080,لحم برازيلي,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b081,عرق فلتو برازيلى مقاس العرق 4/5,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
prod_1785656884530_b2b082,عرق فلتو برازيلي 5UP,غير محدد,,1.000,weight,فريش,,FALSE,TRUE
