id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1781355629828_hqfehxzed,5,مصر الجديده,0,0,0,0,2026-06-13 13:00:29.828+00,2026-06-16 12:45:25.234+00,
zone_1781355629828_z9urocjm1,5,مصر الجديده,0,85,85,1800,2026-06-13 13:00:29.828+00,2026-06-16 12:45:25.234+00,شيراتون المطار
zone_1781355790418_hxnvk1h8n,6,دجله,0,85,85,1400,2026-06-13 13:03:10.418+00,2026-06-16 12:45:25.234+00,المعادى الجديده
zone_1781356506809_vy1rfogme,6,السيده,0,100,100,1800,2026-06-13 13:15:06.809+00,2026-06-16 12:45:25.234+00,الفسطاط الجديده
zone_1781356853181_k9dz4lnfn,7,المهندسين,0,100,100,1800,2026-06-13 13:20:53.18+00,2026-06-16 12:45:25.234+00,الجيزه
zone_1781356928858_sqodkw11b,6,المهندسين,0,100,100,1800,2026-06-13 13:22:08.858+00,2026-06-16 12:45:25.234+00,أمبابه
zone_1781357515953_t3mcxflze,5,شبرا,0,105,105,2300,2026-06-13 13:31:55.953+00,2026-06-16 12:45:25.234+00,منشيه ناصر
zone_1781357852539_o1h11nu7y,10,أكتوبر - الشيخ زايد,0,135,135,2300,2026-06-13 13:37:32.538+00,2026-06-16 12:45:25.234+00,نيو جيزه
zone_1781358287307_yebwtvp5o,11,شيرا الخيمه,0,135,135,2300,2026-06-13 13:44:47.306+00,2026-06-16 12:45:25.234+00,شيرا الخيمه
zone_1781613557607_1z3m46c9r,12,مدينه نصر,0,75,75,1400,2026-06-16 12:39:17.607+00,2026-06-16 12:45:25.234+00,مدينه نصر
zone_1781613612638_wfr4lrd2s,12,مدينه نصر,0,65,65,1400,2026-06-16 12:40:12.638+00,2026-06-16 12:45:25.234+00,زهراء مدينه نصر
zone_1781613925235_0311lq86l,4,هضبه و المقطم,0,75,75,1400,2026-06-16 12:45:25.234+00,2026-06-16 12:45:25.234+00,المقطم
zone_1781613925235_0giof6h9a,4,هضبه و المقطم,0,75,75,1400,2026-06-16 12:45:25.234+00,2026-06-16 12:45:25.234+00,وان قطاميه
