id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1779178686842_d2vv5xafa,5,مصر الجديده,49.2,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,حلمية الزيتون
zone_1779178686842_dee8xfmdz,5,مصر الجديده,46,100,100,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,حمامات القبه
zone_1779178686842_h0x3vqbo6,5,مصر الجديده,48.4,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,جسر السويس
zone_1779178686842_hcb9g597o,5,مصر الجديده,48.6,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,الزيتون
zone_1779178686842_mr76dmdpv,5,مصر الجديده,43.4,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,ميدان الاسماعليه
zone_1779178686842_v1h37raxi,5,مصر الجديده,43.2,105,105,2300,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,ارض جولف
zone_1779178686842_xf7x6lc0u,5,مصر الجديده,45,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,الظاهر
zone_1779178798187_dw3js1wjo,5,مصر الجديده,50,85,85,1800,2026-05-19 08:19:58.187+00,2026-06-16 12:45:25.234+00,الماظة
zone_1779178798187_lm73eqfjg,5,مصر الجديده,50,85,85,1800,2026-05-19 08:19:58.187+00,2026-06-16 12:45:25.234+00,حدائق القبة
zone_1779179138711_hpow3iyhe,5,مصر الجديده,39.8,85,85,1800,2026-05-19 08:25:38.711+00,2026-06-16 12:45:25.234+00,صن سيتي
zone_1779179138711_ninanh22h,5,مصر الجديده,38.4,85,85,1800,2026-05-19 08:25:38.711+00,2026-06-16 12:45:25.234+00,مساكن شيراتون
zone_1779181388123_5hv4ivlyh,5,شبرا,48.4,105,105,2300,2026-05-19 09:03:08.123+00,2026-06-16 12:45:25.234+00,رمسيس
zone_1779181388123_btwcg228r,5,شبرا,48,105,105,2300,2026-05-19 09:03:08.123+00,2026-06-16 12:45:25.234+00,باب الشعرية
zone_1779181388123_uqmyf1vho,5,شبرا,50,105,105,2300,2026-05-19 09:03:08.123+00,2026-06-16 12:45:25.234+00,الدرب الاحمر
zone_1779181388123_y73nckv5z,10,أكتوبر - الشيخ زايد,105,135,135,2300,2026-05-19 09:03:08.123+00,2026-06-16 12:45:25.234+00,بالم هيلز-أكتوبر
zone_1779181475158_na7n4sby4,5,شبرا,42,105,105,2300,2026-05-19 09:04:35.157+00,2026-06-16 12:45:25.234+00,الدويقة
zone_1779181633129_tiai5tn93,4,هضبه و المقطم,27,75,75,900,2026-05-19 09:07:13.129+00,2026-06-16 12:45:25.234+00,عباد الرحمن
zone_1779181744044_ctn5x8qh0,5,مصر الجديده,47.8,75,75,1400,2026-05-19 09:09:04.044+00,2026-06-16 12:45:25.234+00,العباسية
zone_1779181976594_3znlnjfh3,6,مصر الجديده,50.2,85,85,1800,2026-05-19 09:12:56.594+00,2026-06-16 12:45:25.234+00,النزهة الجديدة
zone_1779181976594_5k1qhhmk6,6,مصر الجديده,51.8,85,85,1800,2026-05-19 09:12:56.594+00,2026-06-16 12:45:25.234+00,صلاح سالم
zone_1779181976594_ji5imud9g,6,مصر الجديده,51.4,85,85,1800,2026-05-19 09:12:56.594+00,2026-06-16 12:45:25.234+00,حدائق الزيتون
zone_1779181976594_ybs5q3iq5,6,مصر الجديده,51,85,85,1800,2026-05-19 09:12:56.594+00,2026-06-16 12:45:25.234+00,المطريه
zone_1779182208755_rntmj1dtd,6,دجله,52.2,85,85,1400,2026-05-19 09:16:48.755+00,2026-06-16 12:45:25.234+00,شارع النصر
zone_1779182520358_fl6g6mbxm,6,السيده,50.6,100,100,1800,2026-05-19 09:22:00.358+00,2026-06-16 12:45:25.234+00,الامام الشافعي
zone_1779182520358_l0qbcgahf,6,السيده,60,100,100,1800,2026-05-19 09:22:00.358+00,2026-06-16 12:45:25.234+00,فسطاط
zone_1779182520358_ynbjy63jo,6,السيده,57.6,100,100,1800,2026-05-19 09:22:00.358+00,2026-06-16 12:45:25.234+00,زهراء مصر القديمة
zone_1779182641966_h27i95fqv,6,مصر الجديده,57.4,85,85,1800,2026-05-19 09:24:01.966+00,2026-06-16 12:45:25.234+00,عين الصيرة
zone_1779182641966_jjk1eerml,6,مصر الجديده,52.8,85,85,1800,2026-05-19 09:24:01.966+00,2026-06-16 12:45:25.234+00,عين شمس
zone_1779182747501_1k5xk79ht,6,السيده,52,100,100,1800,2026-05-19 09:25:47.501+00,2026-06-16 12:45:25.234+00,المدبح
zone_1779183075451_glib4jaf3,6,شبرا,53.6,105,105,2300,2026-05-19 09:31:15.451+00,2026-06-16 12:45:25.234+00,ميدان لاظغلي
zone_1779183075451_zic8cfvdp,6,شبرا,54.2,105,105,2300,2026-05-19 09:31:15.451+00,2026-06-16 12:45:25.234+00,الاميرية
zone_1779183395240_bpxadlhzg,6,وسط البلد,53.2,100,100,2300,2026-05-19 09:36:35.239+00,2026-06-16 12:45:25.234+00,وسط البلد
zone_1779183395240_hm2ywvrsh,6,وسط البلد,60,100,100,2300,2026-05-19 09:36:35.239+00,2026-06-16 12:45:25.234+00,التحرير
zone_1779183395240_m8vfc7isb,6,وسط البلد,60,100,100,2300,2026-05-19 09:36:35.239+00,2026-06-16 12:45:25.234+00,عابدين
zone_1779183395240_o4el6fnq4,6,وسط البلد,60,100,100,2300,2026-05-19 09:36:35.239+00,2026-06-16 12:45:25.234+00,غمرة
zone_1779183539175_4dn83csfq,6,حلوان,55.4,105,105,2300,2026-05-19 09:38:59.174+00,2026-06-16 12:45:25.234+00,وادى  حوف
zone_1779183756500_21dcx6h0b,6,المرج,51,105,105,2300,2026-05-19 09:42:36.5+00,2026-06-16 12:45:25.234+00,القلعة
zone_1779183756500_fplexk7op,6,المرج,55.6,105,105,2300,2026-05-19 09:42:36.5+00,2026-06-16 12:45:25.234+00,الشرابية
zone_1779183864527_xynrzydgn,6,حلوان,50.6,105,105,2300,2026-05-19 09:44:24.527+00,2026-06-16 12:45:25.234+00,كوتسيكا
zone_1779184267165_q4hno0zny,6,الشروق,50,85,85,1800,2026-05-19 09:51:07.165+00,2026-06-16 12:45:25.234+00,زيزينيا فلاورز
zone_1779184267165_zmd0grva2,6,الشروق,59.6,100,100,2300,2026-05-19 09:51:07.165+00,2026-06-16 12:45:25.234+00,مدينة السلام
zone_1779184310978_keqnrk8n3,6,الشروق,51,100,100,2300,2026-05-19 09:51:50.977+00,2026-06-16 12:45:25.234+00,سيدة عائشة
zone_1779184352854_4wvz7day7,6,الشروق,0,85,85,1800,2026-05-19 09:52:32.854+00,2026-06-16 12:45:25.234+00,مدينتى
